prod_price
2.0
17.0
4.0
150.0
335.0
6.0
9.0
97.0
13.0
0.0
7.0
8.0
4.0
15.0
2.0
1.0
150.0
6.0
8.0
2.0
2.0
1.0
8.0
0.0
12.0
10.0
2.0
19.0
4.0
4.0
22.0
15.0
5.0
19.0
19.0
8.0
3.0
40.0
3.0
312.0
22.0
44.0
30.0
43.0
6.0
6.0
19.0
45.0
5.0
29.0
28.0
1.0
25.0
25.0
15.0
9.0
12.0
420.0
60.0
15.0
1.0
6.0
5.0
4.0
6.0
8.0
12.0
290.0
4.0
12.0
15.0
20.0
7.0
4.0
2.0
1.0
12.0
17.0
4.0
115.0
3.0
2.0
7.0
1.0
0.0
15.0
2.0
4.0
4.0
4.0
290.0
6.0
1.0
2.0
40.0
9.0
7.0
249.0
6.0
5.0
2.0
11.0
6.0
8.0
45.0
2.0
17.0
1.0
12.0
12.0
5.0
5.0
1.0
28.0
1.0
445.0
1.0
5.0
90.0
3.0
43.0
2.0
2.0
3.0
3.0
150.0
0.0
7.0
4.0
17.0
3.0
27.0
1.0
305.0
20.0
15.0
35.0
1.0
7.0
7.0
1.0
4.0
12.0
2.0
29.0
12.0
2.0
4.0
25.0
4.0
5.0
0.0
13.0
3.0
9.0
5.0
1.0
9.0
3.0
6.0
10.0
4.0
7.0
6.0
2.0
2.0
5.0
1.0
3.0
36.0
5.0
40.0
13.0
1.0
9.0
435.0
27.0
100.0
1.0
8.0
1.0
5.0
2.0
22.0
15.0
2.0
29.0
0.0
22.0
3.0
6.0
0.0
29.0
2.0
7.0
6.0
1.0
99.0
5.0
40.0
1.0
3.0
3.0
17.0
8.0
15.0
10.0
2.0
15.0
22.0
1.0
22.0
1.0
40.0
4.0
5.0
3.0
3.0
5.0
45.0
4.0
1.0
5.0
380.0
437.0
3.0
12.0
1.0
9.0
6.0
15.0
27.0
8.0
12.0
75.0
3.0
3.0
4.0
2.0
45.0
8.0
5.0
7.0
17.0
1.0
6.0
19.0
3.0
179.0
15.0
10.0
1.0
3.0
2.0
15.0
19.0
6.0
7.0
2.0
7.0
12.0
2.0
2.0
10.0
45.0
1.0
1.0
93.0
19.0
5.0
4.0
92.0
4.0
3.0
1.0
1.0
2.0
2.0
45.0
8.0
3.0
28.0
5.0
9.0
13.0
22.0
5.0
7.0
1.0
5.0
8.0
13.0
22.0
4.0
3.0
29.0
5.0
8.0
3.0
15.0
25.0
3.0
7.0
2.0
12.0
60.0
665.0
3.0
25.0
55.0
6.0
2.0
1.0
13.0
2.0
7.0
179.0
4.0
4.0
51.0
2.0
5.0
15.0
2.0
12.0
9.0
1.0
230.0
1.0
405.0
120.0
15.0
2.0
10.0
9.0
6.0
3.0
8.0
3.0
5.0
29.0
8.0
1.0
4.0
15.0
4.0
1.0
143.0
1.0
3.0
2.0
5.0
1.0
4.0
13.0
2.0
1.0
6.0
150.0
3.0
5.0
22.0
42.0
1.0
5.0
29.0
9.0
2.0
7.0
10.0
108.0
10.0
4.0
170.0
35.0
7.0
2.0
1.0
2.0
99.0
25.0
1.0
2.0
99.0
13.0
9.0
1.0
1.0
3.0
10.0
20.0
1.0
9.0
75.0
10.0
1.0
1.0
7.0
5.0
35.0
1.0
2.0
17.0
10.0
6.0
6.0
1.0
5.0
4.0
10.0
9.0
115.0
3.0
15.0
455.0
6.0
450.0
5.0
10.0
1.0
22.0
35.0
5.0
2.0
19.0
